key,year,venue,pub_type,title,authors
conf/wsdm/DattaGGM22,2022,WSDM,inproceedings,Deep-QPP: A Pairwise Interaction-based Deep Learning Model for Supervised Query Performance Prediction.,Suchana Datta|Debasis Ganguly|Derek Greene|Mandar Mitra
conf/wsdm/DeffayetTRR23,2023,WSDM,inproceedings,Generative Slate Recommendation with Reinforcement Learning.,Romain Deffayet|Thibaut Thonet|Jean-Michel Renders|Maarten de Rijke
conf/wsdm/0001WZH24,2024,WSDM,inproceedings,TTC-QuAli: A Text-Table-Chart Dataset for Multimodal Quantity Alignment.,Haoyu Dong 0001|Haochen Wang|Anda Zhou|Yue Hu 0002
conf/wsdm/0001S22,2022,WSDM,inproceedings,How Do You Test a Test?: A Multifaceted Examination of Significance Tests.,Nicola Ferro 0001|Mark Sanderson
conf/wsdm/00440MC022,2022,WSDM,inproceedings,MotifClass: Weakly Supervised Text Classification with Higher-order Metadata Information.,Yu Zhang 0044|Shweta Garg 0004|Yu Meng 0001|Xiusi Chen|Jiawei Han 0001
conf/wsdm/DengSZ0023,2023,WSDM,inproceedings,S2TUL: A Semi-Supervised Framework for Trajectory-User Linking.,Liwei Deng 0001|Hao Sun 0015|Yan Zhao 0008|Shuncheng Liu 0001|Kai Zheng 0001
conf/wsdm/ZhouZZWJ022,2022,WSDM,inproceedings,C²-CRS: Coarse-to-Fine Contrastive Learning for Conversational Recommender System.,Yuanhang Zhou|Kun Zhou 0002|Wayne Xin Zhao|Cheng Wang|Peng Jiang|He Hu 0001
conf/wsdm/HeZLC20,2020,WSDM,inproceedings,Consistency-Aware Recommendation for User-Generated Item List Continuation.,Yun He 0001|Yin Zhang 0011|Weiwen Liu|James Caverlee
conf/wsdm/MaoWXLW20,2020,WSDM,inproceedings,MRAEA: An Efficient and Robust Entity Alignment Approach for Cross-lingual Knowledge Graph.,Xin Mao|Wenting Wang|Huimin Xu|Man Lan|Yuanbin Wu
conf/wsdm/ParaparR21,2021,WSDM,inproceedings,Diverse User Preference Elicitation with Multi-Armed Bandits.,Javier Parapar|Filip Radlinski
conf/wsdm/Katsogiannis-Meimarakis23,2023,WSDM,inproceedings,Data Democratisation with Deep Learning: The Anatomy of a Natural Language Data Interface.,George Katsogiannis-Meimarakis|Mike Xydas|Georgia Koutrika
conf/wsdm/BautistaBBS24,2024,WSDM,inproceedings,MAD: Multi-Scale Anomaly Detection in Link Streams.,Esteban Bautista|Laurent Brisson|C|Gr
conf/wsdm/LiT18,2018,WSDM,inproceedings,"Network Science of Teams: Characterization, Prediction, and Optimization.",Liangyue Li|Hanghang Tong
conf/wsdm/DessiKMPS21,2021,WSDM,inproceedings,L2D 2021: First International Workshop on Enabling Data-Driven Decisions from Learning on the Web.,Danilo Dess|Tanja K|Mirko Marras|Elvira Popescu|Harald Sack
conf/wsdm/YanBZLL24,2024,WSDM,inproceedings,Towards Alignment-Uniformity Aware Representation in Graph Contrastive Learning.,Rong Yan|Peng Bao|Xiao Zhang|Zhongyi Liu 0002|Hui Liu
conf/wsdm/NguyenTPN22,2022,WSDM,inproceedings,Node Co-occurrence based Graph Neural Networks for Knowledge Graph Link Prediction.,Dai Quoc Nguyen|Vinh Tong|Dinh Q. Phung|Dat Quoc Nguyen
