key,year,venue,pub_type,title,authors
conf/isdmci/PovoroznyukFPS22,2022,ISDMCI,inproceedings,Associative Information Retrieval in Medical Databases.,Anatoliy Povoroznyuk|Anna E. Filatova|Oksana Povoroznyuk|Iryna Shakhina
conf/isdmci/BodyanskiyCPP24,2024,ISDMCI (2),inproceedings,Adaptive Bagging of Hybrid Systems of Computational Intelligence Using Metamodel Online Optimal Learning.,Yevgeniy V. Bodyanskiy|Olha Chala|Iryna Pliss|Sergiy Popov
conf/isdmci/HodovychenkoALS22,2022,ISDMCI,inproceedings,Approaches and Techniques to Improve Machine Learning Performance in Distributed Transducer Networks.,Mykola Hodovychenko|Svitlana Antoshchuk|Ivan Lobachev|Thorsten Sch|Mykhaylo Lobachev
conf/isdmci/BerezskyMLP24,2024,ISDMCI (2),inproceedings,Biomedical Image Datasets.,Oleh Berezsky|Grygoriy Melnyk|Petro Liashchynskyi|Oleh Pitsun
conf/isdmci/HnatushenkoZ19,2019,ISDMCI,inproceedings,Complex Approach of High-Resolution Multispectral Data Engineering for Deep Neural Network Processing.,Volodymyr V. Hnatushenko|Vadym Zhernovyi
conf/isdmci/SineglazovL24,2024,ISDMCI (2),inproceedings,Airborne Mine Detection Using Synthetic Aperture Radar.,Victor Sineglazov|Kyrylo Lesohorskyi
conf/isdmci/HnatushenkoKU20,2020,ISDMCI,inproceedings,On Flexible Co-registration of Optical and SAR Satellite Images.,Volodymyr V. Hnatushenko|Peter I. Kogut|Mykola V. Uvarov
conf/isdmci/VoronenkoKLVK21,2021,ISDMCI,inproceedings,An Expert System Prototype for the Early Diagnosis of Pneumonia.,Mariia Voronenko|Olena Kovalchuk|Luidmyla Lytvynenko|Svitlana Vyshemyrska|Iurii Krak
conf/isdmci/RudakovaPKPRR21,2021,ISDMCI,inproceedings,Research of Acoustic Signals Digital Processing Methods Application Efficiency for the Electromechanical System Functional Diagnostics.,Hanna Rudakova|Oksana Polyvoda|Inna Kondratieva|Vladyslav Polyvoda|Antonina Rudakova|Yuriy Rozov
conf/isdmci/SafonykM22,2022,ISDMCI,inproceedings,Optimization of Coagulant Dosing Process for Water Purification Based on Artificial Neural Networks.,Andrii Safonyk|Myroslav Matviichuk
conf/isdmci/HrytsykN21,2021,ISDMCI,inproceedings,"Real-Time Sensing, Reasoning and Adaptation for Computer Vision Systems.",Volodymyr V. Hrytsyk|Mariia Nazarkevych
conf/isdmci/DurnyakLSN19,2019,ISDMCI,inproceedings,Simulation of a Combined Robust System with a P-Fuzzy Controller.,Bohdan Durnyak|Mikola Lutskiv|Petro Shepita|Vitalii Nechepurenko
conf/isdmci/KonokhOI19,2019,ISDMCI,inproceedings,Automatic Search Method of Efficiency Extremum for a Multi-stage Processing of Raw Materials.,Igor Konokh|Iryna Oksanych|Nataliia Istomina
conf/isdmci/SafonykTRH20,2020,ISDMCI,inproceedings,"Modeling, Analysis and Automation of Wastewater Treatment by Electrocoagulation Method.",Andrii Safonyk|Ivan Tarhonii|Andrii Rudyk|Ivanna Hrytsiuk
conf/isdmci/KashtanIH24,2024,ISDMCI (1),inproceedings,Geoinformation Technology for Modeling and Mapping Flooding Territory in the Event of the Dnipro Hydroelectric Power Station Dam Failure.,Vita Kashtan|Denys Ivanov|Volodymyr V. Hnatushenko
conf/isdmci/MorozovMP20,2020,ISDMCI,inproceedings,Application of Game Theory for Decisions Making on the Development of IT Products.,Viktor V. Morozov|Olga O. Mezentseva|Maksym Proskurin
conf/isdmci/BidyukKG21,2021,ISDMCI,inproceedings,An Approach to Identifying and Filling Data Gaps in Machine Learning Procedures.,Peter Bidyuk|Irina Kalinina|Aleksandr Gozhyj
conf/isdmci/BodyanskiySM19,2019,ISDMCI,inproceedings,Online Robust Fuzzy Clustering of Data with Omissions Using Similarity Measure of Special Type.,Yevgeniy V. Bodyanskiy|Alina Shafronenko|Sergii Mashtalir
conf/isdmci/ZosimovB19,2019,ISDMCI,inproceedings,Calculation the Measure of Expert Opinions Consistency Based on Social Profile Using Inductive Algorithms.,Viacheslav V. Zosimov|Oleksandra S. Bulgakova
conf/isdmci/PerovaZDBV19,2019,ISDMCI,inproceedings,Recognition of Human Primitive Motions for the Fitness Trackers.,Iryna Perova|Polina Zhernova|Oleh Datsok|Yevgeniy V. Bodyanskiy|Olha Velychko
conf/isdmci/TkachenkoIT21,2021,ISDMCI,inproceedings,Neuro-Fuzzy Diagnostics Systems Based on SGTM Neural-Like Structure and T-Controller.,Roman Tkachenko|Ivan Izonin|Pavlo Tkachenko
conf/isdmci/OcheretianyiB21,2021,ISDMCI,inproceedings,Assesment Model for Domain Specific Programming Language Design.,Oleksandr Ocheretianyi|Igor Baklan
conf/isdmci/KrakBMK19,2019,ISDMCI,inproceedings,Approach to Piecewise-Linear Classification in a Multi-dimensional Space of Features Based on Plane Visualization.,Iurii Krak|Olexander Barmak|Eduard Manziuk|Hrygorii Kudin
